측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지_1시간,미세먼지_24시간,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
202501140600,101,서북권,111181,은평구,54,60,45,0.0065,0.0286,0.75,0.0029
202501140700,101,서북권,111181,은평구,58,60,39,0.0066,0.0293,0.74,0.003
202501140800,101,서북권,111181,은평구,54,58,36,0.0033,0.0346,0.78,0.0031
202501140900,101,서북권,111181,은평구,62,58,42,0.0034,0.0347,0.85,0.0031
202501141000,101,서북권,111181,은평구,66,60,48,0.0039,0.0408,1,0.0032
202501141100,101,서북권,111181,은평구,79,61,53,0.0065,0.0426,0.97,0.0033
202501141200,101,서북권,111181,은평구,80,63,59,0.0068,0.0482,1.02,0.0036
202501141300,101,서북권,111181,은평구,92,65,69,0.0123,0.0429,0.9,0.0037
202501141400,101,서북권,111181,은평구,89,66,69,0.0157,0.0354,0.84,0.0035
202501141500,101,서북권,111181,은평구,63,67,48,0.0226,0.0238,0.66,0.0034
